enough+2002,1957,6.2,268,Enough,en,False,"{""Drama"", ""Thriller""}",114,6.681287
the+return+of+the+living+dead+1985,10925,7.3,270,The Return of the Living Dead,en,False,"{""Comedy"", ""Horror""}",91,6.258984
13+2010,44982,5.9,247,13,en,False,"{""Drama"", ""Thriller""}",97,14.67986
filth+2013,85889,6.8,628,Filth,en,False,"{""Crime"", ""Drama"", ""Comedy""}",97,14.970485
ikiru+1952,3782,8.1,208,Ikiru,ja,False,"{""Drama""}",143,7.843562
top+secret+1984,8764,7.0,241,Top Secret!,en,False,"{""Comedy""}",90,5.971241
beyond+re-animator+2003,11429,5.6,56,Beyond Re-Animator,fr,False,"{""Comedy"", ""Horror"", ""Science Fiction""}",95,3.826178
the+patriot+2000,2024,6.8,1130,The Patriot,en,False,"{""Drama"", ""History"", ""War"", ""Action""}",165,15.960788
americas+sweethearts+2001,11467,5.5,260,Americas Sweethearts,en,False,"{""Comedy"", ""Romance""}",102,6.468538
edward+scissorhands+1990,162,7.5,3731,Edward Scissorhands,en,False,"{""Fantasy"", ""Drama"", ""Romance""}",105,17.612244
impact+1949,25503,5.8,6,Impact,en,False,"{""Drama"", ""Thriller"", ""Mystery""}",111,1.551252
meet+the+spartans+2008,7278,3.8,370,Meet the Spartans,en,False,"{""Comedy""}",84,6.416753
airheads+1994,13595,5.8,222,Airheads,en,False,"{""Comedy"", ""Crime"", ""Music""}",92,7.09232
send+me+no+flowers+1964,4939,5.9,33,Send Me No Flowers,en,False,"{""Comedy"", ""Romance""}",100,2.163293
prom+night+1980,36599,6.0,85,Prom Night,en,False,"{""Horror"", ""Mystery"", ""Thriller""}",92,3.65867
meatballs+part+ii+1984,40771,3.5,13,Meatballs Part II,en,False,"{""Comedy""}",86,1.475532
million+dollar+baby+2004,70,7.7,2519,Million Dollar Baby,en,False,"{""Drama""}",132,14.471373
the+virgin+suicides+1999,1443,7.1,841,The Virgin Suicides,en,False,"{""Drama"", ""Romance""}",97,10.505387
all+about+my+mother+1999,99,7.4,337,All About My Mother,es,False,"{""Comedy"", ""Drama""}",101,10.000915
don+juan+demarco+1994,1909,6.3,184,Don Juan DeMarco,en,False,"{""Romance"", ""Drama"", ""Comedy""}",97,7.438934
house+party+2+1991,16096,4.7,22,House Party 2,en,False,"{""Comedy""}",94,7.252003
